epoch,error
1,3.0537350912157173
2,2.2818885552254327
3,1.7331080562284855
4,1.3208638823731154
5,1.008471208539026
6,0.7939820422548076
7,0.6323024169244671
8,0.5073852226081154
9,0.4159279519537032
10,0.34754162247160925
11,0.296176430388509
12,0.25785298497187614
13,0.23116166260045312
14,0.2087515192178256
15,0.19218634162573123
16,0.17946289413927213
17,0.16969992930422734
18,0.16168418613320015
19,0.15558326745797377
20,0.15034861840570363
21,0.1471730419631336
22,0.14395592053070377
23,0.14136353336053922
24,0.13911035433492958
25,0.13688449067862926
26,0.13492965411867447
27,0.13365283028630967
28,0.13271514821496283
29,0.13169838958883323
30,0.12907232298294416
31,0.12996774034910902
32,0.1286818057322999
33,0.12832835754652444
34,0.12678847007599067
35,0.12610396603892468
36,0.1260413212367845
37,0.12598837197522542
38,0.12437133773591276
39,0.12486898216743939
40,0.12433654517482529
41,0.12394604870521589
42,0.12345587017693221
43,0.12308554886029521
44,0.12307733483365156
45,0.12254707104959428
46,0.12232574764065847
47,0.12176869310498654
48,0.12193587183128117
49,0.12200185900931822
50,0.12111976498816679
