epoch,error
1,2.976341337254348
2,2.1972394523703707
3,1.758771060228812
4,1.4361679353967038
5,1.177435992738022
6,0.9705993565740465
7,0.8058824887182257
8,0.6730085769708861
9,0.5667595243897954
10,0.48191817222609523
11,0.4130532145224327
12,0.3585425021197454
13,0.31458523766036217
14,0.27923020903425755
15,0.2508639511293667
16,0.22846381919829406
17,0.2100062959474137
18,0.1947856584950086
19,0.1836947817168373
20,0.17416627931593787
21,0.16629705606678175
22,0.1602217166608938
23,0.15478382621858514
24,0.1514717799112439
25,0.14819979835623479
26,0.14550634094630388
27,0.1433282716525797
28,0.14158552238449668
29,0.14011005348070746
30,0.1389702658177266
31,0.13804379914887285
32,0.13727728759168265
33,0.13657714684646283
34,0.135822596044954
35,0.13550637373711558
36,0.13519297538963893
37,0.13472870799990228
38,0.13448615848680973
39,0.13430010989627805
40,0.13398937108221962
41,0.13385437964597838
42,0.13343965075827594
43,0.1335397254628196
44,0.13324992112596665
45,0.13289940718215368
46,0.13271564603032587
47,0.13292155677277534
48,0.13269343671505307
49,0.13262693377441678
50,0.132371614896151
51,0.1324114058745598
52,0.13224051955105232
53,0.1321010787978016
54,0.13209189617947106
