epoch,error
1,0.4411650487916834
2,0.31892580059893944
3,0.26249590660143796
4,0.20408665393911904
5,0.2209999334504101
6,0.2575159846088968
7,0.1757152387971633
8,0.23127745335032363
9,0.24834914911888822
10,0.20343257941933957
11,0.19580128970718996
12,0.18232065067140207
13,0.20060489377213866
14,0.19526753100568772
15,0.20690538338495765
16,0.20057811551205396
17,0.18622387486656738
18,0.19689396485194435
19,0.1934547764325446
20,0.19780217752005103
21,0.18760418216626293
22,0.16053077823351877
23,0.21599484890828877
24,0.1796667125206398
25,0.17450152969991867
26,0.20009160741840112
27,0.2078156415302681
28,0.19961514503222696
29,0.18239590046257828
30,0.1685145550851263
31,0.19976466887273805
32,0.17913826200657423
33,0.21030053368388418
34,0.173181843780249
35,0.21608456897997705
36,0.2191508080454387
37,0.18188374656899647
38,0.2018356713943015
39,0.20193559064193736
40,0.18427897484566283
41,0.18427315960759377
42,0.2295200119511878
43,0.17672240574023293
44,0.17332838305168194
45,0.19926363991438384
46,0.18773975311927021
47,0.18242292066675517
48,0.17616005763677842
49,0.1794482322107061
50,0.20921031640445428
51,0.19712605112697232
52,0.18845844717540322
53,0.17341358161774387
54,0.19041339292835546
55,0.214207979604479
56,0.18862294643958322
57,0.19610343234541963
58,0.21891698407855406
59,0.20511998524977762
60,0.19078920321630305
61,0.18401890217032424
62,0.17873430890552044
63,0.181915081752526
64,0.2202935025479755
65,0.21110911124348478
66,0.1619594746687209
67,0.22542244152558913
68,0.18856515768531026
69,0.17355102138276882
70,0.20659520109555082
71,0.20740267734989665
72,0.20784989132914175
73,0.1995536287377884
74,0.17153149528098344
75,0.19841585507764442
76,0.15897353630265937
77,0.18175680040834838
78,0.19955152139265456
79,0.18197159675177021
80,0.18713557421303076
81,0.18741440079670652
82,0.18071813970928435
83,0.1642742274015047
84,0.1980248423143668
85,0.19707071812384647
86,0.15836887129079474
87,0.19582085127687252
88,0.1816932413825537
89,0.2123802365491214
90,0.19218193725882718
91,0.18022237795312215
92,0.18321835041665901
93,0.18347830255068398
94,0.19596148822411694
95,0.1845760589804275
96,0.2033443002875209
97,0.1662561423836357
98,0.17536329561126873
99,0.18359277246085717
100,0.1885778552042881
