epoch,error
1,2.938210225899609
2,368.0543725868534
3,319608.7768502718
4,8177.434417159742
5,2519156.690122536
6,202710.0672232357
7,2636091.7436952414
8,133413137.56978065
9,4734614.279556192
10,265731.29654924764
11,8700.523999276573
12,445393.73360500357
13,33935.020843505765
14,157568.8317628005
15,521.7072563961877
16,3629.343403796081
17,7943.54967317177
18,898252.8573661996
19,456510.86391334113
20,97536.09616559735
21,118125.29557354505
22,957.9521606808556
23,6357026.6347355945
24,65306323.4447251
25,194358970.97128287
26,100156418.19594458
27,7703451630.103817
28,3226094.974718185
29,7065.3052373622895
30,38383.369242210974
31,954677.6396991936
32,128241.6281046193
33,297262573.0991254
34,561488.1511981207
35,128848.09709399214
36,812410.69365601
37,194380.044227965
38,72475918.5640004
39,10200184.494755296
40,5876634.53739991
41,2872837.2025795523
42,2699553.75741472
43,613317.0990667496
44,1840179.7932108908
45,23132347.760957442
46,358311.86037494545
47,182681.5566820306
48,799521.2693761825
49,186026456.2483037
50,8233925.6639397675
51,4867374.13755884
52,678564865.9815174
53,532186774.9528027
54,437541892674.4269
55,296159699.5247411
56,43834922687.62104
57,6271203702.580837
58,1959761135.4719217
59,628968369640054.9
60,11582602895323.459
61,2791688691566.837
62,5749501282255.107
63,3458018267263.1543
64,34752011334080.96
65,159950421289604.06
66,2326395157172299.0
67,1366137026339232.8
68,2085285470334204.2
69,11090192089171.068
70,11443326902686.984
71,2645955521539012.5
72,693101650534591.0
73,186852358955265.75
74,1.536805796795968e+16
75,163039448009432.56
76,36473668724542.39
77,3280723302715.1323
78,28881015054309.277
79,1216800712086.0044
80,213874585958.02228
81,2068399215653.993
82,475646435358.835
83,12738723920.806925
84,22327647089.06951
85,14343679976.02807
86,355684168842.0943
87,2298845409323.489
88,1441321105252.947
89,20594346864795.914
90,4648467720525304.0
91,1.5200871490162076e+18
92,2.0561322984104536e+20
93,7.089247404053791e+20
94,5.510026130822469e+19
95,6.683241917324557e+18
96,4.664716503418186e+18
97,1.340052381189766e+17
98,3.219014635340795e+17
99,1.2969180492611362e+17
100,5.402437743821805e+17
