in_val,out_val
-1.4491,-1.041956995613757
-1.4382,-0.7781400558846157
-1.4144,-0.2458984427395836
-1.4061,-0.07372259330973874
-1.3788,0.4468974431249406
-1.375,0.514065157457257
-1.3358,1.1375518240279199
-1.3263,1.2708014250861308
-1.3218,1.3316476284337915
-1.3019,1.5839508648184268
-1.2924,1.6951613259646368
-1.2815,1.8157847551892539
-1.2757,1.8770341164336253
-1.2754,1.8801479634823308
-1.2195,2.3746195371488525
-1.2111,2.435427927072918
-1.195,2.5431852478517647
-1.1888,2.58173285187462
-1.1687,2.6960990873349084
-1.1655,2.7128748120905657
-1.1487,2.794869857231645
-1.1407,2.8304749948443524
-1.1299,2.8752083640869643
-1.1242,2.897331055355252
-1.1222,2.9048569410620617
-1.0997,2.9814511979297293
-1.0985,2.985136536874126
-1.0985,2.985136536874126
-1.0946,2.996846623511276
-1.0727,3.0553371711693638
-1.0614,3.080980275727092
-1.0433,3.116155790297958
-1.0268,3.1423771898082786
-1.0224,3.148491279196544
-1.0049,3.1693940522989714
-0.98942,3.18363789312124
-0.95527,3.202646679148974
-0.91697,3.2068886291485295
-0.90079,3.2041897074528918
-0.8899,3.201078313074249
-0.88832,3.200545977644002
-0.88788,3.2003941931626754
-0.8872,3.2001566040409046
-0.87536,3.195451270381014
-0.87204,3.193946174546404
-0.87077,3.193349786140418
-0.853,3.1838723966950573
-0.84508,3.179013138789694
-0.83389,3.171543072525288
-0.81103,3.1543254795204354
-0.80562,3.1499087272411717
-0.78179,3.1291314324261514
-0.7687,3.116923581427781
-0.75534,3.103981731504489
-0.75165,3.1003311912860774
-0.73124,3.079634057662278
-0.71823,3.0660669718524165
-0.69874,3.045336737370787
-0.68902,3.0348617874031327
-0.67586,3.0205794107529487
-0.66359,3.0071941316799147
-0.6622,3.005675136507889
-0.64762,2.9897280939281297
-0.64409,2.9858666068581887
-0.62303,2.9628754147288117
-0.6084,2.9469971538382254
-0.60261,2.9407445167309056
-0.59723,2.934953553399454
-0.58992,2.9271174325299745
-0.57605,2.9123644852618846
-0.55982,2.8953212318934507
-0.55936,2.8948419720539564
-0.53043,2.8651687514487483
-0.52287,2.8575776034800437
-0.49923,2.834318148951473
-0.49632,2.831507156386509
-0.48182,2.8176780927815264
-0.46945,2.8061200749171165
-0.44557,2.784452846436323
-0.4107,2.75439078912693
-0.39037,2.737746300568874
-0.35429,2.709820407649584
-0.33865,2.6983542039602866
-0.33654,2.69683669028684
-0.33012,2.6922622205904783
-0.30151,2.672653496823982
-0.29424,2.6678708301095377
-0.24599,2.638130526803975
-0.22506,2.6262818757356454
-0.22065,2.6238641813616272
-0.2055,2.6157639624475544
-0.19798,2.6118600528723896
-0.18099,2.6033201244455486
-0.17878,2.6022374822168297
-0.17371,2.5997780283606406
-0.17003,2.5980139136751927
-0.16832,2.5972001715181348
-0.15676,2.591798077848154
-0.14573,2.5868025997919712
-0.1105,2.57185814291712
-0.1042,2.5693439754963605
-0.10379,2.5691819859124196
-0.099074,2.567332962673562
-0.083328,2.561347430838688
-0.078949,2.5597336788304728
-0.075192,2.5583665820102777
-0.065132,2.554784562555652
-0.046424,2.5484231232914705
-0.008381,2.536654167999065
-0.0052156,2.5357436033901104
0.0098885,2.531540592786761
0.030251,2.526239841713326
0.032725,2.525623979926517
0.033352,2.525468859185881
0.053644,2.5206564931115385
0.057162,2.519862838627802
0.058681,2.519523835202042
0.071582,2.516733573587607
0.079725,2.515053667293607
0.08735,2.5135371125105843
0.08789,2.5134317711684564
0.08992,2.5130381960100046
0.11934,2.507761060018677
0.14206,2.5042235976800407
0.15938,2.501835923900097
0.16836,2.500701946110515
0.18048,2.499283057675956
0.18502,2.4987843872247932
0.19394,2.497856459919286
0.23274,2.4946120709039814
0.25486,2.4933325333602343
0.26423,2.492914245223616
0.2784,2.492420952563521
0.31556,2.4919210450684885
0.32669,2.4919946900081418
0.35193,2.4925440368301346
0.35343,2.4925934382513653
0.35492,2.4926443766492787
0.36163,2.492896848757455
0.36287,2.4929476454668005
0.38997,2.494382227917331
0.40657,2.495570305546791
0.41359,2.4961443599813657
0.42646,2.4973086561577196
0.43827,2.498505918270993
0.46202,2.5012948233653547
0.48929,2.5051458318357596
0.49652,2.506287294336264
0.49908,2.5067038747435215
